corruption,severity,clf,delta,scope
sensor_dropout,light,rf,0.8192614000000001,within:pd
sensor_dropout,light,knn,0.7511085000000001,within:pd
sensor_dropout,light,svm,0.7974087666666666,within:pd
sensor_dropout,light,dt,0.8218261666666666,within:pd
sensor_dropout,light,qda,0.7319362666666667,within:pd
sensor_dropout,light,xgb,0.8109800000000003,within:pd
sensor_dropout,light,lgbm,0.8185873333333331,within:pd
sensor_dropout,medium,rf,0.8158733333333333,within:pd
sensor_dropout,medium,knn,0.7310008333333333,within:pd
sensor_dropout,medium,svm,0.7708613,within:pd
sensor_dropout,medium,dt,0.8217809333333332,within:pd
sensor_dropout,medium,qda,0.7172990333333333,within:pd
sensor_dropout,medium,xgb,0.8109800000000003,within:pd
sensor_dropout,medium,lgbm,0.8185249999999998,within:pd
sensor_dropout,heavy,rf,0.8122112666666668,within:pd
sensor_dropout,heavy,knn,0.6939996,within:pd
sensor_dropout,heavy,svm,0.7278122,within:pd
sensor_dropout,heavy,dt,0.821826,within:pd
sensor_dropout,heavy,qda,0.6917137000000001,within:pd
sensor_dropout,heavy,xgb,0.8109800000000003,within:pd
sensor_dropout,heavy,lgbm,0.8184286666666665,within:pd
gain_bias_drift,light,rf,0.7668292333333333,within:pd
gain_bias_drift,light,knn,0.7572508333333333,within:pd
gain_bias_drift,light,svm,0.8116633000000001,within:pd
gain_bias_drift,light,dt,0.7807710666666667,within:pd
gain_bias_drift,light,qda,0.7393765000000001,within:pd
gain_bias_drift,light,xgb,0.7987069000000002,within:pd
gain_bias_drift,light,lgbm,0.7720979,within:pd
gain_bias_drift,medium,rf,0.7748039,within:pd
gain_bias_drift,medium,knn,0.7363647666666668,within:pd
gain_bias_drift,medium,svm,0.8128494666666667,within:pd
gain_bias_drift,medium,dt,0.7845994000000001,within:pd
gain_bias_drift,medium,qda,0.6209288333333333,within:pd
gain_bias_drift,medium,xgb,0.7888547666666667,within:pd
gain_bias_drift,medium,lgbm,0.7654996000000001,within:pd
gain_bias_drift,heavy,rf,0.7770286333333332,within:pd
gain_bias_drift,heavy,knn,0.6987675333333333,within:pd
gain_bias_drift,heavy,svm,0.7923265,within:pd
gain_bias_drift,heavy,dt,0.7949208,within:pd
gain_bias_drift,heavy,qda,0.47448433333333334,within:pd
gain_bias_drift,heavy,xgb,0.7903843000000002,within:pd
gain_bias_drift,heavy,lgbm,0.7691812999999998,within:pd
jitter,light,rf,0.7809501999999999,within:pd
jitter,light,knn,0.7587321666666667,within:pd
jitter,light,svm,0.8078249333333332,within:pd
jitter,light,dt,0.7808843,within:pd
jitter,light,qda,0.7431028666666667,within:pd
jitter,light,xgb,0.7973123333333334,within:pd
jitter,light,lgbm,0.7679885000000001,within:pd
jitter,medium,rf,0.7877398,within:pd
jitter,medium,knn,0.7511706666666665,within:pd
jitter,medium,svm,0.8037665666666667,within:pd
jitter,medium,dt,0.7917152333333332,within:pd
jitter,medium,qda,0.6839375666666666,within:pd
jitter,medium,xgb,0.7986645333333333,within:pd
jitter,medium,lgbm,0.7740746000000002,within:pd
jitter,heavy,rf,0.7520737000000001,within:pd
jitter,heavy,knn,0.7304341666666667,within:pd
jitter,heavy,svm,0.7760484666666666,within:pd
jitter,heavy,dt,0.7671592666666667,within:pd
jitter,heavy,qda,0.5600855333333333,within:pd
jitter,heavy,xgb,0.7566445,within:pd
jitter,heavy,lgbm,0.7362791333333333,within:pd
missing_strides,light,rf,0.8198342333333333,within:pd
missing_strides,light,knn,0.7605711999999999,within:pd
missing_strides,light,svm,0.8099964,within:pd
missing_strides,light,dt,0.8219496666666665,within:pd
missing_strides,light,qda,0.7391388666666666,within:pd
missing_strides,light,xgb,0.8105280999999999,within:pd
missing_strides,light,lgbm,0.8185621666666667,within:pd
missing_strides,medium,rf,0.8196847999999999,within:pd
missing_strides,medium,knn,0.7616754333333333,within:pd
missing_strides,medium,svm,0.8090036999999999,within:pd
missing_strides,medium,dt,0.8210212333333333,within:pd
missing_strides,medium,qda,0.7398468666666667,within:pd
missing_strides,medium,xgb,0.8106161000000002,within:pd
missing_strides,medium,lgbm,0.8187807666666668,within:pd
missing_strides,heavy,rf,0.8191104666666666,within:pd
missing_strides,heavy,knn,0.7600892333333333,within:pd
missing_strides,heavy,svm,0.8077391333333335,within:pd
missing_strides,heavy,dt,0.8220982666666665,within:pd
missing_strides,heavy,qda,0.7398523666666664,within:pd
missing_strides,heavy,xgb,0.8113081666666667,within:pd
missing_strides,heavy,lgbm,0.8175198333333336,within:pd
label_noise,light,rf,0.7874629333333332,within:pd
label_noise,light,knn,0.7326397,within:pd
label_noise,light,svm,0.7764107333333333,within:pd
label_noise,light,dt,0.7891015333333334,within:pd
label_noise,light,qda,0.7149276333333332,within:pd
label_noise,light,xgb,0.7777493999999999,within:pd
label_noise,light,lgbm,0.784209,within:pd
label_noise,medium,rf,0.7537085666666666,within:pd
label_noise,medium,knn,0.7071752333333333,within:pd
label_noise,medium,svm,0.7424923666666668,within:pd
label_noise,medium,dt,0.7554127666666667,within:pd
label_noise,medium,qda,0.6922142666666667,within:pd
label_noise,medium,xgb,0.7443093333333335,within:pd
label_noise,medium,lgbm,0.7504690666666665,within:pd
label_noise,heavy,rf,0.6890916666666667,within:pd
label_noise,heavy,knn,0.6539235666666666,within:pd
label_noise,heavy,svm,0.6775959333333332,within:pd
label_noise,heavy,dt,0.6922322333333333,within:pd
label_noise,heavy,qda,0.6462462666666667,within:pd
label_noise,heavy,xgb,0.6798851333333334,within:pd
label_noise,heavy,lgbm,0.6820489333333334,within:pd
sensor_dropout,light,rf,0.9052700000000004,within:hd
sensor_dropout,light,knn,0.7986929333333334,within:hd
sensor_dropout,light,svm,0.8554614666666667,within:hd
sensor_dropout,light,dt,0.9052700000000004,within:hd
sensor_dropout,light,qda,0.7580065999999999,within:hd
sensor_dropout,light,xgb,0.9562139999999998,within:hd
sensor_dropout,light,lgbm,0.8625849999999998,within:hd
sensor_dropout,medium,rf,0.9052700000000004,within:hd
sensor_dropout,medium,knn,0.7747757666666667,within:hd
sensor_dropout,medium,svm,0.8279820000000001,within:hd
sensor_dropout,medium,dt,0.9052700000000004,within:hd
sensor_dropout,medium,qda,0.7414530333333332,within:hd
sensor_dropout,medium,xgb,0.9562139999999998,within:hd
sensor_dropout,medium,lgbm,0.8625849999999998,within:hd
sensor_dropout,heavy,rf,0.9052700000000004,within:hd
sensor_dropout,heavy,knn,0.7331591333333333,within:hd
sensor_dropout,heavy,svm,0.7808182666666666,within:hd
sensor_dropout,heavy,dt,0.9052700000000004,within:hd
sensor_dropout,heavy,qda,0.7147251,within:hd
sensor_dropout,heavy,xgb,0.9562139999999998,within:hd
sensor_dropout,heavy,lgbm,0.8625849999999998,within:hd
gain_bias_drift,light,rf,0.9056720666666667,within:hd
gain_bias_drift,light,knn,0.8128938666666667,within:hd
gain_bias_drift,light,svm,0.8609474666666669,within:hd
gain_bias_drift,light,dt,0.9017537666666667,within:hd
gain_bias_drift,light,qda,0.7377225333333333,within:hd
gain_bias_drift,light,xgb,0.9128665333333335,within:hd
gain_bias_drift,light,lgbm,0.8721735,within:hd
gain_bias_drift,medium,rf,0.8457975666666667,within:hd
gain_bias_drift,medium,knn,0.8108622000000001,within:hd
gain_bias_drift,medium,svm,0.8470233666666668,within:hd
gain_bias_drift,medium,dt,0.8595623333333333,within:hd
gain_bias_drift,medium,qda,0.6330231333333335,within:hd
gain_bias_drift,medium,xgb,0.8748063333333334,within:hd
gain_bias_drift,medium,lgbm,0.8395775333333334,within:hd
gain_bias_drift,heavy,rf,0.7492071333333333,within:hd
gain_bias_drift,heavy,knn,0.7752397666666668,within:hd
gain_bias_drift,heavy,svm,0.81305,within:hd
gain_bias_drift,heavy,dt,0.7916641666666666,within:hd
gain_bias_drift,heavy,qda,0.48897720000000006,within:hd
gain_bias_drift,heavy,xgb,0.7900715,within:hd
gain_bias_drift,heavy,lgbm,0.7915615333333332,within:hd
jitter,light,rf,0.8710980666666666,within:hd
jitter,light,knn,0.8165597000000001,within:hd
jitter,light,svm,0.8506213333333332,within:hd
jitter,light,dt,0.8610277666666665,within:hd
jitter,light,qda,0.7600273333333334,within:hd
jitter,light,xgb,0.8698308666666666,within:hd
jitter,light,lgbm,0.8505553,within:hd
jitter,medium,rf,0.7617051,within:hd
jitter,medium,knn,0.7947292666666664,within:hd
jitter,medium,svm,0.8080583333333334,within:hd
jitter,medium,dt,0.7595358333333334,within:hd
jitter,medium,qda,0.6883451666666666,within:hd
jitter,medium,xgb,0.7711514000000002,within:hd
jitter,medium,lgbm,0.7624076666666666,within:hd
jitter,heavy,rf,0.6323693666666668,within:hd
jitter,heavy,knn,0.7421076333333333,within:hd
jitter,heavy,svm,0.7399174333333334,within:hd
jitter,heavy,dt,0.6387040333333334,within:hd
jitter,heavy,qda,0.5296679000000001,within:hd
jitter,heavy,xgb,0.6771094333333335,within:hd
jitter,heavy,lgbm,0.6378410333333334,within:hd
missing_strides,light,rf,0.9053127666666666,within:hd
missing_strides,light,knn,0.8103570666666666,within:hd
missing_strides,light,svm,0.8689563333333334,within:hd
missing_strides,light,dt,0.9051011666666666,within:hd
missing_strides,light,qda,0.7649450999999999,within:hd
missing_strides,light,xgb,0.9564716666666665,within:hd
missing_strides,light,lgbm,0.8625401333333333,within:hd
missing_strides,medium,rf,0.9050068,within:hd
missing_strides,medium,knn,0.8103411,within:hd
missing_strides,medium,svm,0.8689762666666668,within:hd
missing_strides,medium,dt,0.9051752666666667,within:hd
missing_strides,medium,qda,0.7649060666666668,within:hd
missing_strides,medium,xgb,0.9558524333333334,within:hd
missing_strides,medium,lgbm,0.8621424333333334,within:hd
missing_strides,heavy,rf,0.9055083333333334,within:hd
missing_strides,heavy,knn,0.8092366666666668,within:hd
missing_strides,heavy,svm,0.8683939333333333,within:hd
missing_strides,heavy,dt,0.9053452000000001,within:hd
missing_strides,heavy,qda,0.7638928,within:hd
missing_strides,heavy,xgb,0.9559455666666667,within:hd
missing_strides,heavy,lgbm,0.8608019666666666,within:hd
label_noise,light,rf,0.8546099666666667,within:hd
label_noise,light,knn,0.7739227333333333,within:hd
label_noise,light,svm,0.8272352666666667,within:hd
label_noise,light,dt,0.8550406333333332,within:hd
label_noise,light,qda,0.7386676666666666,within:hd
label_noise,light,xgb,0.9024323666666665,within:hd
label_noise,light,lgbm,0.8184590666666666,within:hd
label_noise,medium,rf,0.8040092666666666,within:hd
label_noise,medium,knn,0.7400669000000001,within:hd
label_noise,medium,svm,0.7866846333333333,within:hd
label_noise,medium,dt,0.8046627666666666,within:hd
label_noise,medium,qda,0.7114038333333333,within:hd
label_noise,medium,xgb,0.8505161333333333,within:hd
label_noise,medium,lgbm,0.7767369,within:hd
label_noise,heavy,rf,0.7149815333333334,within:hd
label_noise,heavy,knn,0.6707386333333332,within:hd
label_noise,heavy,svm,0.7087851666666668,within:hd
label_noise,heavy,dt,0.7137216666666667,within:hd
label_noise,heavy,qda,0.6588685,within:hd
label_noise,heavy,xgb,0.7492232333333334,within:hd
label_noise,heavy,lgbm,0.6969311333333333,within:hd
sensor_dropout,light,rf,0.7490769,within:als
sensor_dropout,light,knn,0.8024980666666668,within:als
sensor_dropout,light,svm,0.7375423333333334,within:als
sensor_dropout,light,dt,0.7470833,within:als
sensor_dropout,light,qda,0.8060637666666667,within:als
sensor_dropout,light,xgb,0.8183128,within:als
sensor_dropout,light,lgbm,0.7319622000000001,within:als
sensor_dropout,medium,rf,0.7467058333333333,within:als
sensor_dropout,medium,knn,0.7691580666666665,within:als
sensor_dropout,medium,svm,0.7134933333333334,within:als
sensor_dropout,medium,dt,0.7337612333333332,within:als
sensor_dropout,medium,qda,0.7760770333333332,within:als
sensor_dropout,medium,xgb,0.8085887666666668,within:als
sensor_dropout,medium,lgbm,0.7264915000000001,within:als
sensor_dropout,heavy,rf,0.7436672666666667,within:als
sensor_dropout,heavy,knn,0.7140610333333333,within:als
sensor_dropout,heavy,svm,0.6728326666666667,within:als
sensor_dropout,heavy,dt,0.7112994999999998,within:als
sensor_dropout,heavy,qda,0.7281848333333333,within:als
sensor_dropout,heavy,xgb,0.7989345666666668,within:als
sensor_dropout,heavy,lgbm,0.7235774333333335,within:als
gain_bias_drift,light,rf,0.7559928,within:als
gain_bias_drift,light,knn,0.8220426666666665,within:als
gain_bias_drift,light,svm,0.7466552,within:als
gain_bias_drift,light,dt,0.7426761666666667,within:als
gain_bias_drift,light,qda,0.8057417000000001,within:als
gain_bias_drift,light,xgb,0.8204134333333334,within:als
gain_bias_drift,light,lgbm,0.7613964333333332,within:als
gain_bias_drift,medium,rf,0.7480677,within:als
gain_bias_drift,medium,knn,0.8067270666666668,within:als
gain_bias_drift,medium,svm,0.7413824999999999,within:als
gain_bias_drift,medium,dt,0.7405554333333335,within:als
gain_bias_drift,medium,qda,0.6838464666666667,within:als
gain_bias_drift,medium,xgb,0.7816247333333332,within:als
gain_bias_drift,medium,lgbm,0.7476553333333334,within:als
gain_bias_drift,heavy,rf,0.7275178666666667,within:als
gain_bias_drift,heavy,knn,0.7750784666666667,within:als
gain_bias_drift,heavy,svm,0.701564,within:als
gain_bias_drift,heavy,dt,0.6941507666666666,within:als
gain_bias_drift,heavy,qda,0.5372715333333333,within:als
gain_bias_drift,heavy,xgb,0.7407947666666667,within:als
gain_bias_drift,heavy,lgbm,0.7300153999999999,within:als
jitter,light,rf,0.7510344999999999,within:als
jitter,light,knn,0.8198144666666666,within:als
jitter,light,svm,0.7470125333333333,within:als
jitter,light,dt,0.7490309,within:als
jitter,light,qda,0.8134731666666666,within:als
jitter,light,xgb,0.8119846,within:als
jitter,light,lgbm,0.7606180333333332,within:als
jitter,medium,rf,0.7516484000000001,within:als
jitter,medium,knn,0.8201294333333334,within:als
jitter,medium,svm,0.7409887666666666,within:als
jitter,medium,dt,0.7341938333333334,within:als
jitter,medium,qda,0.7697742333333334,within:als
jitter,medium,xgb,0.7680611999999999,within:als
jitter,medium,lgbm,0.7543392,within:als
jitter,heavy,rf,0.7126601666666665,within:als
jitter,heavy,knn,0.8057453333333332,within:als
jitter,heavy,svm,0.7300255333333332,within:als
jitter,heavy,dt,0.6629483,within:als
jitter,heavy,qda,0.6283141999999999,within:als
jitter,heavy,xgb,0.6984400333333334,within:als
jitter,heavy,lgbm,0.7239680333333333,within:als
missing_strides,light,rf,0.7499077666666666,within:als
missing_strides,light,knn,0.8189688666666669,within:als
missing_strides,light,svm,0.7495862666666666,within:als
missing_strides,light,dt,0.7568574333333334,within:als
missing_strides,light,qda,0.8208655,within:als
missing_strides,light,xgb,0.8224369333333333,within:als
missing_strides,light,lgbm,0.7346332333333333,within:als
missing_strides,medium,rf,0.7501238000000001,within:als
missing_strides,medium,knn,0.8189143000000001,within:als
missing_strides,medium,svm,0.7495313666666668,within:als
missing_strides,medium,dt,0.7558357,within:als
missing_strides,medium,qda,0.8198996333333332,within:als
missing_strides,medium,xgb,0.8231421000000001,within:als
missing_strides,medium,lgbm,0.7342540000000001,within:als
missing_strides,heavy,rf,0.7512708666666666,within:als
missing_strides,heavy,knn,0.8185465666666666,within:als
missing_strides,heavy,svm,0.7495297333333334,within:als
missing_strides,heavy,dt,0.7557900333333334,within:als
missing_strides,heavy,qda,0.8232854000000001,within:als
missing_strides,heavy,xgb,0.8228531333333334,within:als
missing_strides,heavy,lgbm,0.7322009666666663,within:als
label_noise,light,rf,0.7245093333333332,within:als
label_noise,light,knn,0.7866699999999999,within:als
label_noise,light,svm,0.7247569000000001,within:als
label_noise,light,dt,0.7306210333333333,within:als
label_noise,light,qda,0.7877325,within:als
label_noise,light,xgb,0.7889852666666667,within:als
label_noise,light,lgbm,0.7117472333333335,within:als
label_noise,medium,rf,0.6998567666666667,within:als
label_noise,medium,knn,0.7552321666666665,within:als
label_noise,medium,svm,0.7010773666666669,within:als
label_noise,medium,dt,0.7046025,within:als
label_noise,medium,qda,0.7551856666666665,within:als
label_noise,medium,xgb,0.755639,within:als
label_noise,medium,lgbm,0.6877114333333334,within:als
label_noise,heavy,rf,0.6487717333333333,within:als
label_noise,heavy,knn,0.6901159,within:als
label_noise,heavy,svm,0.6469886333333333,within:als
label_noise,heavy,dt,0.6520201666666666,within:als
label_noise,heavy,qda,0.6943950666666666,within:als
label_noise,heavy,xgb,0.6912655666666664,within:als
label_noise,heavy,lgbm,0.6405462333333334,within:als
